COD_CLASSE;JUST_ES_1GRAU;JUST_ES_2GRAU;JUST_ES_JUIZADO_ES;JUST_ES_TURMAS;JUST_ES_1GRAU_MIL;JUST_ES_2GRAU_MIL;JUST_ES_JUIZADO_ES_FP;JUST_TU_ES_UN;JUST_FED_1GRAU;JUST_FED_2GRAU;JUST_FED_JUIZADO_ES;JUST_FED_TURMAS;JUST_FED_NACIONAL;JUST_FED_REGIONAL;JUST_TRAB_1GRAU;JUST_TRAB_2GRAU;JUST_TRAB_TST;JUST_TRAB_CSJT;STF;STJ;CJF;CNJ;JUST_MIL_UNIAO_1GRAU;JUST_MIL_UNIAO_STM;JUST_MIL_EST_1GRAU;JUST_MIL_EST_TJM;JUST_ELEI_1GRAU;JUST_ELEI_2GRAU;JUST_ELEI_TSE
1298;S;S;N;N;S;S;N;N;S;S;N;N;N;N;N;S;S;N;N;N;S;N;S;S;S;S;S;S;S
1299;N;S;N;N;N;S;N;N;N;S;N;N;N;N;N;S;S;N;N;S;N;N;N;N;N;S;N;S;S
1301;S;S;N;N;S;S;N;N;S;S;N;N;N;N;N;S;S;N;N;N;N;S;N;N;S;S;N;N;N
1303;N;S;N;N;N;S;N;N;N;S;N;N;N;N;N;S;S;N;N;N;N;N;N;S;N;S;S;S;S
1304;N;S;N;N;N;S;N;N;N;S;N;N;N;N;N;N;S;S;N;N;N;S;N;N;N;S;S;S;S
1306;N;S;N;N;N;S;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N
1307;N;S;N;N;N;S;N;N;N;S;N;N;N;N;N;S;S;N;N;N;N;S;N;S;N;S;S;S;S
1308;S;S;N;N;S;S;N;N;S;S;N;N;N;N;N;S;S;N;N;N;N;S;S;S;S;S;S;S;S
1310;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1311;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1312;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1313;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1314;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1315;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1316;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1317;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1318;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1342;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1343;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;S;S
1344;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;S;S
1345;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;S;S
1346;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;S;S
1347;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;S;S
1348;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1349;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
135;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1350;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1351;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1352;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1353;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1354;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
1355;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1356;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1357;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1358;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1359;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
136;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
